# Batch config for CROWN MPC
# Format: image_id,true_label,target_label
# Generated from plaintext CROWN results
0,7,4
1,2,4
2,1,6
3,0,1
4,4,1
5,1,6
6,4,1
7,9,6
8,5,1
9,9,1
10,0,4
11,6,7
12,9,1
13,0,4
14,1,0
15,5,7
16,9,1
17,7,4
18,3,6
19,4,1
20,9,6
21,6,7
22,6,1
23,5,7
24,4,1
25,0,1
26,7,6
27,4,1
28,0,4
29,1,0
30,3,6
31,1,6
32,3,6
33,4,1
34,7,6
35,2,4
36,7,6
37,1,0
38,2,4
39,1,5
40,1,9
41,7,6
42,4,5
43,2,9
44,3,6
45,5,2
46,1,6
47,2,9
48,4,1
49,4,5
50,6,9
51,3,6
52,5,4
53,5,7
54,6,9
55,0,4
56,4,1
57,1,6
58,9,1
59,5,6
60,7,4
62,9,1
63,3,6
64,7,5
65,4,0
66,6,9
67,4,5
68,3,6
69,0,4
70,7,6
71,0,4
72,2,4
73,9,6
74,1,0
75,7,6
76,3,6
77,2,4
78,9,6
79,7,6
80,7,2
81,6,1
82,2,5
83,7,1
84,8,1
85,4,1
86,7,6
87,3,6
88,6,1
89,1,5
90,3,6
91,6,9
92,9,6
93,3,6
94,1,0
95,4,1
96,1,6
97,7,5
98,6,9
99,9,1
